,content,score,time
740,굿,5,2022-02-20
741,"유튜브에서 자주 나오는 뭔 이상한 음악? 나오는 광고 진짜 볼 때마다 깜짝 놀라고 짜증납니다. 좀 그만 좀 보여주세요... 너무 
시끄럽고 듣기 싫음.",1,2018-08-03
742,짱짱,5,2016-10-20
743,좋아요,5,2019-01-09
744,최고!,5,2015-08-11
745,좋아요,5,2015-08-30
746,좋은어플이네요,5,2017-12-21
747,좋아요^^&,5,2021-11-11
748,좋음,5,2018-12-12
749,취소/환불 하고 싶은데 어플에 취소 하는 자체가 없어졌고 카톡으로 문의 했더니 보지도 않고 고객센터로 전화 했더니 받지도 않고 뭐 하자는거죠???,1,2021-07-30
750,굿뜨,5,2018-02-03
751,진짜 편하고 사장님들도 너무 친절하세요!,5,2019-04-30
752,편하게 예약과 맘에 드는곳을 선택할수있어요,4,2019-01-21
753,괜찮아요 조아요,5,2015-04-12
754,굳,5,2020-03-29
755,따봉,5,2015-07-27
756,여자 친구랑 어딜가야  이벤트가 될지 매번 인터넷으로 알아본다고 몇시간식 투자하고 막상가서 실망했는데 야놀자  는 너무 설명과 사진이 잘나와 있어서 좋네요! 쵝오~!,5,2015-08-08
757,너무편리하고 좋습니다!,5,2020-11-25
758,좋음,5,2019-05-28
759,편리하고 할인이 잘되서 좋아요^^,5,2019-10-17
760,굿,5,2016-02-12
761,정말정말 좋습니다,5,2017-10-08
762,카드혜택이 많아요!! 1일이상 미리예약 조건이없어서 더좋아요 그런데 선착순인원이 더많으면 행복하겠어요,5,2021-04-24
763,좋음,5,2021-10-15
764,많은 곳이 검색됩니다!! 괜히 1위가 아니지요,5,2019-05-10
765,로그인이 안되네요;; 휴대전화 로그인을 하려해도 아무반응이없어요,3,2018-11-22
766,쪼아요,5,2020-03-23
767,유용한 어,5,2019-06-13
768,미리미리 숙소잡을 수 있어좋네용~~,5,2016-07-22
769,접속이 ㅜㅜ,5,2017-07-16
770,편하구좋아요,5,2020-01-05
771,조금이라두아낄수있어서좋아요,5,2017-08-11
772,좋아요 ㅎ,5,2017-08-04
773,이벤트나 이슈들 정리가 잘되어 좋아요,5,2019-08-02
774,편해요,5,2021-04-19
775,안 좋아요.... 진짜 깐거 후회됨... 깔지 마세요..,1,2017-08-09
776,편하고 빨라서 좋아요,5,2019-06-16
777,조아요,5,2019-08-03
778,좋아요,5,2018-07-23
779,말이 필요없음,5,2016-04-02
780,야놀자 자주 이용중. 괜찮은 거 같음,4,2019-06-21
781,좋음,5,2019-09-27
782,검색하기 아주 좋아용.. 다만 검색필터에 최대 많은 대여시간순으로 나열검색이 없어서 아쉽네요,4,2019-11-16
783,가성비최고,5,2020-10-22
784,근처 모텔 찾기도 쉽고 제휴 할인도 되고 정말 완소 어플인거같아요 ㅎㅎ,5,2014-02-07
785,짱짱짱,5,2015-10-04
786,좋아요,5,2015-05-15
787,완전굿,5,2017-12-13
788,좋네요,4,2018-06-02
789,좋아요!,5,2019-04-20
790,넘 좋음~~~!!!,5,2018-12-30
791,편리하고 좋아요,5,2020-01-09
792,인터넷으로 찾아보기 번거로웠는데 어플 덕분에 쉽게 예약할 수 있어서 편하네요~^^,5,2017-06-21
793,저렴하게 예약함,5,2019-09-23
794,굿편리 업체많음,5,2019-11-22
795,예약이편하고 특가를 쉽게 찾을수 있습니다,5,2020-02-07
796,좋으디좋으다,4,2017-11-25
797,좋아요,5,2019-03-26
798,굿,5,2021-11-09
799,멤버할인 해택 및 시간연장혜택 굿굿♡♡,5,2015-04-24
800,마이룸 키트 안심존 짱! ^^;,5,2015-11-16
801,선착순쿠폰 없은시 그 다음날 기다리면 다시 생겨 좋아요 할인에 또 할인 아주좋아요,5,2020-10-12
802,좋음,5,2019-08-23
803,작년부터 꾸준히 쓰고있는데 좋은 것 같아요.ㅋㅋ,5,2017-11-20
804,상세하게 설명이 나와있네요,5,2015-10-20
805,숙소도많고 좋아요,5,2022-01-15
806,고객센터 전화 안됨. 환불하기 힘듬. 리뷰계속 지움,1,2021-08-30
807,숙박사장님돈벌고 우린  싸게좋게 놀고,5,2017-01-05
808,편리해요,5,2019-10-11
809,좋아요,5,2020-10-29
810,좋아요 잘 이용하고 있어요,5,2018-12-13
811,좋아요,5,2015-05-09
812,굿,5,2020-04-12
813,써보시면압니다,5,2015-05-09
814,좋아요,5,2019-12-10
815,싸고좋은뎅 알려줘서 고마비요,4,2016-12-16
816,쿠폰은 아무쓸모도없고 할인된다는결제방식으로 진행해도 할인도안되고 상담은 챗봇만 연결시키고 개판이다진짜,1,2022-02-14
817,이유없이 최고,5,2019-07-22
818,좋아부러요,5,2020-11-21
819,이벤트방ㅎ아서좋아요,4,2017-11-07
820,good,5,2018-01-01
821,굿,5,2015-10-16
822,이어플 너무 좋아요 바로바로 예약 가능하고 모테류어딧고 숙박가능한곳 알수잇고 최고입니다,5,2015-01-26
823,여행갈때 숙박알아볼때 너무 좋아요,5,2015-08-16
824,너무 혜택이 좋아요 최고,5,2019-06-04
825,빠르게 예약가능하고 할인혜택이 많아 좋아요,5,2020-10-31
826,좋네요 ㅋㅋ,5,2019-12-19
827,예약이 편하고 한번에 비교할 수 있어요,5,2019-08-15
828,짱짱,5,2015-09-10
829,좋아요,5,2017-04-28
830,굿,5,2018-11-27
831,나름쓸만함,5,2019-01-25
832,급하게 호텔예약해야됐는데 야놀자는 제가 찾던 호텔방이 있네요ㅎㅎ가격도 다른데비해 1~2만원정도 저렴합니다 최고네요,5,2019-07-26
833,좋아요 싸서,5,2019-04-14
834,좋아요,5,2020-07-11
835,♡,5,2020-01-31
836,검색하고 결제하기 넘편해요,4,2019-07-27
837,좋은 정보앱입니다,4,2019-06-13
838,엄청좋네요ㅎㅎ,5,2019-04-22
839,편리하네요,5,2020-09-22
840,성수기라 그런지 하나도 안맞네요. 리뷰들 보면 성수기가 아니어도 오천원에서 만원가량 기재된 가격과는 차이가 있는 듯한데... 가보면 시설도 실제와 다르고. 이 사이트 잘못이라기보단.. 속여먹는 비양심적인 모텔 측 때문에 참고만 해야지 가격과 시설 둘다 맹신할수는 없네요,3,2015-08-09
841,지하철역에서 몇키로 거리인지 부킹앱처럼 알려주면 좋겠습니다,3,2018-11-06
842,좋아여,5,2019-09-01
843,이미상 같이 무개념 이용자들 상대하느라 고생많으십니다... 본인은 스스로 왜 말도안된다는걸 모를까요... 세상은넓고 무개념은 많다는 사실 다시한번 깨우치고 갑니다,5,2017-07-11
844,할인도많고너무좋아요!!!,5,2020-01-14
845,이벤트자주했음 더좋겠어용,5,2019-05-25
846,좋소,5,2018-01-22
847,편리해욤! ㅎㅎ,5,2020-07-12
848,잘 사용하고 있습니다.,5,2019-12-09
849,좋앙,5,2018-10-31
850,요즘 어디 좋은곳에 놀러가기 돈도 부담되고 시간도 부족하고 힘들잖아요ㅠ 그럴때 야놀자 앱으로 데이트장소 찾으면 딱인것 같아요! 예쁜장소들 한눈에 찾기도 쉽고 회원혜택도 많아서 부담도 적고 너무 좋네요! 완전추천입니다,5,2014-01-30
851,좋아요!! 정말,5,2016-02-27
852,매우 편리해여ㅎㅎ,5,2019-01-31
853,조아용,5,2014-10-02
854,좋아여 오늘 왜케 더워 더워,5,2017-12-02
855,취소조건이 다른곳보다는 좋아요,4,2021-02-26
856,조아요,5,2019-11-23
857,잘 사용하고있어요^^,5,2018-03-01
858,실제 사용해보니 더좋은듯,5,2016-12-14
859,할인이.. 남달라요 다른 곳보다 할인이 쩌네요. 하지만 숙소 사진은 좀.. 가끔 섞어쓰는 것 같네요^,5,2019-12-05
860,숙소찾기 쉽네요,5,2019-12-28
861,ㅋㅋ 모텔 호텔 전부나와서 므훗함,4,2015-10-31
862,그냥 좋다,5,2015-10-21
863,편함,5,2018-11-10
864,좋아요,5,2018-11-02
865,좋죠완전편하고,5,2019-07-16
866,너무 좋은것 같네요   ㅋㅋ,5,2014-02-20
867,좋아요.사용하기편해요,5,2020-12-14
868,보기편하고 좋아요,4,2018-04-28
869,히트다잉~~,5,2016-07-23
870,여행갈때 숙소찾기 힘들었는데 좋은거하나 발견했네요,5,2015-04-04
871,편해요,5,2019-06-12
872,굿,5,2019-04-16
873,편해요,1,2019-04-06
874,편함,5,2019-12-30
875,굿,5,2015-04-29
876,편리해용,5,2020-01-12
877,저렴한곳도 많이 나오고 실사랑 비슷해서 좋습니다ㅎ,5,2018-08-16
878,똥실제랑 앱이랑다름 개똥같음,1,2018-11-03
879,굿,5,2016-07-03
880,최고,5,2017-08-18
881,좋아여,5,2019-07-16
882,할인에만족해요,5,2021-04-25
883,좋아영,5,2017-11-25
884,쿠폰이주기적으로 많이들어와서 골라쓰는 재미가있음,5,2019-08-02
885,진짜 별 1개도 아깝다 약 30분간 써칭후 예약방 결제를 했는데 10분정도 지나 호텔로 이동하는중에 호텔 측 전화가 와서 방이 없다 ????ㅋㅋㅋ 호텔측에선 야놀자 어플 문제 라길래 짜증이 났지만 참고 환불하려고 야놀자 고객센터 전화하는데 20분이상 대기 ㅋㅋ 전화연결이 안되면 어쩌자고 ㅋㅋㅋㅋㅋ통화 기다리다 자정 넘어가서 더이상 예약도 못하고 환불도 안되고 호텔 측 직원은 환불 못해준다 자기 호텔쪽에 돈이 들어온게 아니다 라고 하며 환불 못해준다고 함 ㅋㅋ지네도 야놀자 측에 전화해 보고있는데 전화를 안받는다고ㅋㅋㅋㅋ 몇번 해보더니 지네는 돈이 안들어와서 본인이 알아서 콜센터에 전화를 해서 환불 받으라는데 콜센터가 아무리 전화를 해도 전화를 안받는데 환불을 어떻게 받냐고ㅋㅋㅋㅋㅋ 싸우다 결국 호텔 대표자분 한테 5시간 뒤에 환불 받았네요 ㅋㅋㅋㅋ 돈도 날려 시간도 날려 야놀자 가입된 호텔 모텔들은 CS 다 이모양인가?? 다신 안쓴다 증말 ㅋㅋㅋ,1,2022-03-18
886,좋아요,4,2017-09-25
887,굿굿,5,2019-05-28
888,처음인데 좋은거같아요,4,2017-05-04
889,할인도받고해서좋아요.,4,2017-11-27
890,숙소 예약하기 편하고 좋아요 검색도 편하고 할인쿠폰도 많네요,4,2018-11-14
891,야놀자 짱,5,2017-12-16
892,굿,5,2019-04-05
893,소래포구 축제.당일날 공휴일전엔 마이룸안된다고 취소해버리네욬ㅋㅋㅋㅋㅋㅋ 축제당일날 비싼 방 다시구하라이건가? 보상도앖다하고 ㅋㅋㅋㅋ 숙박업소랑 중개업자는 서로 떠넘기기바쁘고,1,2018-10-08
894,예약이 참 편리해요!!,5,2020-02-10
895,적극 추천합니다. 원하는 유형의 숙소를 쉽게 찾을수 있을 뿐 아니라 할인 쿠폰도 많아서 적절하게 사용할수있어 좋네요 ~!! 계속 이용할 계획입니다^^,5,2019-06-02
896,간편하고 좋음,4,2019-05-22
897,좋아요,5,2018-09-10
898,쿠폰도 많고 다른곳보다 저렴,5,2019-07-29
899,예약 하기 좋네요,5,2022-05-19
900,좋디,5,2019-06-24
901,"당일예약 할인 아직 사용하면서 불편(냄세, 청결, 불친절)은ㅅ 느낀적은없다",5,2020-05-22
902,다양한 이벤트 혜택을 톡톡히 보고 있습니다~,5,2018-02-13
903,쉽고 편하고~~시간낭비없구,5,2015-09-04
904,편하고 싼 숙소를 구할수있어요,5,2019-02-01
905,좋아요,5,2016-11-05
906,인터페이스가 간단하고 편해서 좋아요,5,2020-05-09
907,좋아요,4,2019-05-24
908,좋아요,5,2019-06-26
909,괜찮음 정보많앙‥,5,2018-06-23
910,숙소찾기도 편하고 좀더 착한가격에 좋은시설 이용할수 있어서 좋아요.,5,2019-03-21
911,3번 놀때마다 3번 무한지굽이라뇨? 믿어도 되나?,3,2017-08-17
912,사용하기 편해요. 이벤트도 자주하고. 굿!,5,2016-12-19
913,개꿀,5,2015-10-02
914,할인도 해주고 숙박 정보를 한눈에 볼수있어 출장을 자주가는 저에게는 고마운앱 입니다.^^,5,2021-06-01
915,조아요,5,2020-09-12
916,좋아요,5,2018-02-14
917,할인짱,5,2019-12-24
918,잘쓰고있습니다,5,2017-04-09
919,가끔 사용하지만 로그인해서 사용한건 첨인데 아주 유용하고 편리한것 같아 좋아요,5,2022-05-21
920,잘이용하고있어요,4,2018-03-05
921,너무너무 느려요. 뭐 하나 검색하면 그거 찾는데만 하루종일 걸릴 기세네요,1,2017-03-26
922,편해요,4,2019-03-26
923,?? ??,5,2020-07-21
924,펜션 위주의 가격정보가 잘되어 있어서 좋음. 인원수에 따른 가격정보도 검색이 가능하면 더 좋겠음,5,2018-07-11
925,한번예약하면취소불가,4,2022-04-26
926,저렴하고 편리하네요,5,2021-01-28
927,일단 업체 수 적음. 그리고 무슨 이벤트나 쿠폰사용 설명이 너무 어렵게 되어있음 어렵다기보다는 속았다 생각되는 게 많음. 예를 들어 반값할인만 커다랗게 써놓고는 막상 예약하려고 보면 알고보니 예약후에 다음에 쓸 수 있다 이런 식. 이렇다보니 야놀자 자체에 부정적인식이 생김. 또한 고객센터 직원들 좀 멍청한 인간들만 데려다 놓은 건지 자기네들이 진행하는 이벤트에 대해 무지하고 고객이 뭘 뭔하는지 뭘 물어보는지 이해도 못하고 하나 물어보면 그거에 대해 알아보는데 1분이 넘음. 바로 답을 못함ㅋㅋ 전화세 아깝네 진짜. 그리고 전반적으로 자기가 알고 있는 것만 나열하기식으로 설명함. 야놀자 업계 2위로 추락한 데엔 이유가 잇다,1,2017-01-01
928,쿠폰이많아서 좋습니다,5,2019-08-15
929,자주 이용해요 편안합니다,5,2019-02-10
930,굿,5,2019-08-10
931,숙박정보는야놀자!,5,2016-01-24
932,편해요,5,2022-01-08
933,좋아요 할인 굿,5,2020-02-21
934,빠르고 편해요,5,2022-02-14
935,좋아요! 숙박어플중에는최고!,5,2018-12-11
936,굳,5,2018-12-23
937,좋ㅇ요,5,2018-05-19
938,좋아요,5,2019-10-07
939,완전 좋아짐여~~!! 나날이 좋아지네여^^함께 써봐영,5,2016-10-19
940,모텔을 눌러도 안뜨는경우가 많음,2,2017-09-27
941,좋아,5,2015-10-01
942,역시,5,2020-03-07
943,좋아욥,5,2019-02-02
944,아주 좋아요!,5,2018-05-26
945,할인도 많이 되고 리뷰도 보고 좋네오,4,2018-02-12
946,여기에올라온곳에가면매번만족했었다는점^^앞으로두더좋은정보부탁해용ㅎ,5,2015-05-09
947,골드,5,2020-12-11
948,번창~번창~하셔요,5,2015-10-10
949,예약이 빨라서 좋기는해요 안좋은점이 취소할려 하는 데1시간 반 지난건데 환불이 불가능하다네요 연락도 잘안받고 이건 좀 아닌것같다는 생각이 드네요 ㅎ 숙박업소는 취소나 한불이 중요한데 이럴거면 차라리 직접 호텔측에 예약하는게 나을거 같네요,1,2021-07-22
950,아니 이벤트혜택알림 전부껏는데 알림이자꾸 뜨는건 무슨경우입니까? 대체어떻게해야지 알림글이 안뜨는겁니까?어이가없네요.,1,2021-10-08
951,하안기모링,5,2019-05-06
952,좋아여여엉,5,2019-05-28
953,언제나 편하게 잘 이용하고 있습니다.,5,2021-12-17
954,좋아합니다,5,2017-09-12
955,조아,5,2019-03-23
956,진짜 편하고 쿠폰도 한번씩 잘 뿌려서 최고,5,2018-08-25
957,갓성빕니다.~^^,5,2019-12-30
958,앱좋아요,5,2019-04-10
959,지역별로다양하구요  넘좋아여,5,2015-05-03
960,깔끔하네용,5,2017-08-20
961,좋아요,5,2022-02-03
962,좋아요 좋아요,5,2019-06-22
963,좋아요~,4,2017-07-13
964,좀더좋게만들어주세요.,1,2017-08-11
965,굿굿굿,5,2017-05-24
966,굿,5,2019-02-14
967,말이필요없어요,5,2018-06-30
968,좋습니다,5,2018-11-17
969,삭제했다가 다시깔았는데 항상좋네용♥,5,2015-04-02
970,원래 저는 여기어때만 사용했는데 최근에는 여기어때보다 여러모로 좋아지는것 같네요.,5,2019-06-06
971,리뷰로 이것저것알아보고갈수있고 할인가에 이용할수도있고 좋네요,5,2015-05-10
972,야놀자 덕분에 프론트에서 결제하는일없이 바로 입실하니 너무 좋네요,5,2017-12-31
973,신대규,5,2019-03-01
974,굿,5,2021-04-23
975,조으디!,4,2019-06-13
976,굿굿굿!!!,5,2020-06-01
977,초특가야놀잔,5,2019-02-25
978,설명도 좋고 좋아여,5,2015-08-09
979,굿,5,2019-05-27
980,무계획 여행을 좋아하는데 그때그때마다 예약하고 할인이라던지 쿠폰이라던지 너무 효율성좋아요ㅠㅠ 제휴업체도 많고 한국인들은 싸고 좋은게 갑 아니겠나요ㅎㅎ 너무 만족하면서 쓰고있어요ㅎ,5,2019-06-25
981,많은 이벤트와 쿠폰 덕분에 유용합니다.,5,2019-11-06
982,좋음요,5,2019-03-03
983,좋음,5,2022-06-14
984,야놀자 덕분에 잘 쉬다 갑니다,5,2018-11-03
985,아주 유용하고 좋네요,5,2020-01-21
986,좋아요좋아요좋아요,5,2020-02-17
987,다양한 정보와 저렴한 가격책정에 감사드립니다!,5,2021-04-22
988,인원추가기능이 없네요,4,2019-11-30
989,적당히 하셨어야죠^^,1,2022-06-09
990,찾아서 저렴하게 이용하기 좋슴니다.,5,2015-09-17
991,좋아요!,5,2018-12-13
992,짱좋아요,5,2017-12-27
993,광고성이 너무 많음,3,2022-06-19
994,"예약 마감된 숙소는 검색이 안되게 카테고리를 만드셔야져?? 사람 낚시하는것도 아니고 날짜도 미리 체크하고 강릉 펜션 검색해서 한참 고르다가 예약하려고 카테고리 클릭해서 예약하려고 했더니 예약마감, 혹시 몰라서 다른 펜션들 들어가보니 대부분 예약 마감이네요?? 예약 마감인게 문제가 아니라 마감되었으면 마감되었다고 첫 카테고리 선택지에서 분명히 확인할 수 있어야 될 것 같네요 덕분에 시간 낭비 많이 했네요",1,2019-02-28
995,이용하지마세여!!!! 별점도 아깝다 환불정책도 야놀자를 위한 정책이고 예약을 당일 하고 입실하기 7시간전에 환불요청했지만 예약걸고 한시간안에 취소 안했다고 환불안된다해서 다시 다른 업소 다시 예약했는데 한시간 안지나서 취소하자 생각에 문의하니 입실시간이 지나서 둘다 환불 안된다는 답변뿐.. 개뿔 한곳만 가는게 원칙인데 하나는 무조건 버리는셈이 되어버림 야놀자 이용하지마세요,1,2021-08-18
996,잘못눌렀는데 글로 전화를 해야댐??????미친거아님 ?,1,2015-07-01
997,좋아요,5,2020-08-11
998,제일좋지요 여xx때랑 같이쓰는데 야놀자를 조금더 많이사용하는것같아요 가격도 업체도 많은것같아서요,5,2022-01-07
999,싸고 좋아요!!,4,2021-10-09
1000,좋습니다,5,2018-02-24
1001,매번 이용하는데 좋아요,5,2019-10-29
1002,Good,5,2020-11-18
1003,좋아요!!,5,2019-01-25
1004,좋아요,5,2017-10-12
1005,좋네여,5,2017-11-25
1006,잘쓰고있습니당,5,2018-06-17
1007,좋습니다,4,2018-10-02
1008,굿,5,2022-04-11
1009,많이 할인해주는 쿠폰 줄때만 좋음,5,2018-08-14
1010,항상 유용하게쓰고있습니다ㅎㅎㅎ좋아요,5,2019-02-07
1011,더많아지면좋겠어요,4,2015-04-24
1012,좋은정보 감사합니다,5,2018-11-03
1013,편리하게 사용하고 있어요,5,2022-05-20
1014,굿,5,2019-09-21
1015,간편하게 이용하기 좋네요,3,2018-08-30
1016,북치기 박치기,5,2019-06-22
1017,여자친구가 가입하라고 했는데 좋아요 ♡,5,2019-02-26
1018,좋아요 좋아요좋아요,5,2021-10-20
1019,객실이더럽고해서환불할라니깐 한불전화절때안받고 카카오톡도안받고 진짜 고객 불편하게하네요 사장님이랑취소하기로 얘기다했는데취소하면사장님동의하면취소되는버튼을만들어주셔야지 대한민국1등 숙박앱은 제의견상절때아닙니다,1,2020-08-11
1020,마이룸은 언제쯤 가능하련지 ㅠㅡㅠ,3,2019-06-16
1021,굿,5,2015-05-26
1022,편해서 조!!아여,4,2018-11-13
1023,아주 좋아요,5,2019-07-09
1024,저번에 저의 실수로인한 취소건은 이슬기 라는 상담원이 너무나도 친절하게 죄송할정도로 상담을 잘해주셧는데.... 이번에 이승민인가 라는 분은 좀 목소리가 나이가 있으셧는데 제가 실수로 예약 취소한것도 아닌데....버벅거리고 뭔지고 모르고 지가이름이랑 번호 물어봐놓고 이름말하고 번호 말할려고 했는데 이름말하니깐 아니요! 번호요! 이런다..아니 시봉 어쩌라는 건가요 ㅎㅎ 잘몰라서 아..아! 아..이러고,4,2019-07-08
1025,좋아요!!,5,2020-11-28
1026,좋아요오오,5,2019-09-03
1027,가성비 높음,5,2021-05-28
1028,어떤 의미에서 이런 권한이 필요한지와 마찬가지로 통화정보가 필요한 이유좀 말씀해주세요.. 지금까진 쭉 써왔는데 앞으로도 쓰자니 알고싶네요,3,2016-06-03
1029,자주놀러가는편이라 이런게너무도움돼요!!!할인도돼공,5,2015-04-17
1030,좋아요,5,2021-04-24
1031,좋아요~!,5,2016-08-25
1032,굳,5,2021-02-06
1033,좋아요~~,5,2019-12-03
1034,싸게 잡을수 있어서 좋네요,5,2019-05-24
1035,조심들가세요 좋아요 좋은하루되세요,4,2021-03-11
1036,굿굿,4,2016-02-19
1037,"비밀번호 변경하라고 뜨고서 터치도 안먹히고 계속 세션이 만료되어서 정상적으로 진행될수없다는 메세지만 뜨네요..앱을 지웠다가 다시깔아도 
같은현상이 일어납니다..빨리 조치를 취해주세요..닉네임은 1융융 입니다",1,2018-04-29
1038,다양한 이벤트로 저렴하게 숙박가능해서 자주 사용하게 됩니다,5,2018-06-15
1039,많은 이벤트와 제휴업체들의 서비스가 매우 좋아요,5,2015-06-06
1040,항상야놀자 잘이용하고있습니다 항상이벤트해주셔서감사합니다ㅎㅎ,5,2017-02-12
1041,좋음,5,2020-05-04
1042,좋아요,5,2019-04-23
1043,예전에는 몰카 관리한다기에 많이 썼는데 여행관리하기도 편해서 좋아요,5,2018-07-14
1044,정말 유익한 정보입니다,5,2015-03-27
1045,아오진짜 결제오류,1,2019-09-27
1046,좋아요!!!,4,2019-08-04
1047,좋네요,5,2020-06-01
1048,좋아요,5,2019-12-27
1049,간편하고 좋은데 쿠폰은 매번 없네요ㅜㅜ,4,2018-01-20
1050,호텔나우를 사용하다 전환했는데 좋습니다.,5,2020-06-04
1051,편하고좋아요,4,2019-02-20
1052,굿,5,2018-09-30
1053,다양한 활인혜택도 받을수 있고 위치별로 숙소를 다 알수있어서 좋아요ㅎ,5,2018-02-21
1054,사랑해,5,2018-10-30
1055,편하네이거,5,2020-12-13
1056,좋아요,5,2017-12-17
1057,진짜 너무 별로 상담사 너무 불친정하고 규정상 뭐다 막 영어 함,1,2020-12-25
1058,굿,5,2018-06-01
1059,좋인요,4,2019-09-27
1060,좋아요,5,2018-09-29
1061,항상 애용중입니다,5,2019-01-10
1062,좋아요,5,2017-07-01
1063,짱짱짱,5,2018-08-24
1064,좋아요,5,2017-04-22
1065,간편하고. 편리해요,5,2019-10-23
1066,국내 호텔을 제외한 숙소 예약에 용이함.,4,2019-01-25
1067,내가 본 제일 시설 좋은 숙박업체,5,2019-02-19
1068,간편하고 편리한게좋아요,5,2017-04-17
1069,쿠폰좀 팍팍 주십쇼,5,2021-01-03
1070,좋음,5,2019-01-07
1071,실속잇음,5,2019-07-27
1072,완전 좋음,5,2020-01-01
1073,좋음,5,2019-07-09
1074,다튼곳보다 저렴함,5,2022-04-04
1075,좋아요~,5,2019-12-23
1076,편하네요,5,2018-03-03
1077,굿굿,5,2020-08-29
1078,굿,5,2020-03-03
1079,짱입니다요~~~~,5,2016-06-30
1080,편리함,5,2022-06-19
1081,여기어때보다 쌈,5,2018-08-22
1082,야놀자 덕에 어디서나 안심이 되네요~^^,5,2015-08-06
1083,좋아요^^,5,2022-04-13
1084,가격조회가쉽고 쓰기 편해요,5,2021-09-09
1085,예약이 편해졌군요.ㅎㅎ,4,2018-03-05
1086,굿이에요~^^♡,5,2018-12-02
1087,좋아요,5,2016-11-11
1088,엄청 좋내여!:):):)!!,5,2017-08-11
1089,타어플보다 괜찮은거같음!,5,2018-03-23
1090,앱을 사용해보니 좋네요 적극추천합니다,5,2019-07-23
1091,좋습니다,5,2017-08-14
1092,좋음,4,2018-02-22
1093,간편하니 정말 좋네요! ㅎ,5,2019-06-08
1094,좋아요,5,2019-05-31
1095,오에,5,2017-08-19
1096,화이팅 편안한잠자리를 제공해주셔서 감사합니다,5,2015-06-24
1097,루팅된 핸드폰은 안 되다니 좀 슬프네요..,1,2019-04-25
1098,좋아요,4,2022-03-13
1099,진짜 야놀자이제 이용안할렵니다 중복결제로 환불해달라는데 당일 안된다고 하고 결국사장님이랑 연락되서 취소해달라해서 취소되고 환불도 복잡하고 요즘코로나때매 환불이런거 될텐데 진짜이제 안이용해야겠네요 .... 좀 개선되야될부분이네요,1,2020-07-02
1100,굿,5,2019-02-02
1101,"불편했던 점에 관한 솔직한 리뷰가 올라와있고, 쿠폰을 자동으로 챙겨주니 편해요!",5,2019-02-10
1102,좋아여,5,2018-12-05
1103,쌉니다.,5,2019-08-06
1104,넘 편하고 좋와용,5,2018-01-18
1105,최공,5,2017-04-28
1106,굿,5,2020-08-24
1107,종종애용합니다,5,2015-05-08
1108,가족과 여행갈때 정말 필요한 앱인듯 해요. 유용하게 잘 쓰게씀돠~,5,2015-07-27
1109,굿,5,2020-04-30
1110,좋네요,5,2018-02-26
1111,굿,4,2018-12-05
1112,최고 구요 타어플을 능가해유,5,2018-04-17
1113,좋아요 ㅋㅋ,5,2019-02-23
1114,좋은정보  감사 합니다,5,2017-10-13
1115,휼륭해여,5,2018-08-18
1116,좋아요 굿~~,5,2021-02-27
1117,쿠폰 바뀌니까 더 좋은듯!!,5,2017-05-19
1118,아주좋아요,5,2019-09-29
1119,처음 사용하는데 검색도 편하고 지방출장에 도움되네요,5,2015-09-03
1120,매번 이용 잘 하고 있어요 잔잔한 오류는 어디서나 있는거구요 잘 되는 편입니다^^정말 편해요~,5,2015-08-31
1121,좋네요,5,2019-10-16
1122,완전 굿^^!!!!,5,2019-04-22
1123,여행을 가거나 출장을 가거나 혹은 비지니스 관계로 숙박예약이 필요할때 야놀자숙박앱만 있음 고민 걱정할필요없어요^^ 좋아요♥,5,2015-05-02
1124,좋네요,5,2020-08-01
1125,친구들이랑가려고파티룸찾아봤는데진짜이렇게잘되잇는어플은처음이네요♥.♥,5,2014-03-13
1126,싸용,5,2020-07-30
1127,굿,5,2020-11-05
1128,굿,5,2015-05-09
1129,쉽고빠르게 팬션을알아볼수있어서 좋아용ㅎ,5,2022-05-14
1130,굿,4,2020-11-03
1131,너무 좋아요,5,2019-05-11
1132,처음 결제하는데 쿠폰으로 할인받고 넘 좋네요,5,2018-03-02
1133,싸고좋음,5,2018-05-29
1134,예약했는데 돈은 빠져나가고 예약은 안되고 고객센터는 연락안되고 카톡은 읽지도 않고 카드취소해줘요 일처리 진짜 개판이에요 저같은 피해자 엄청많더라구요 야놀자 홈페이지 가보면 어마어마하게 환불요청 많네요,1,2016-05-25
1135,쵝오,5,2015-08-30
1136,편리함,5,2022-04-16
1137,서비스 혜택이 좋아요,5,2019-12-19
1138,굿   상세하규 보기좋코  만은  혜택,5,2016-11-06
1139,좋아요,5,2021-10-15
1140,good,5,2018-11-24
1141,좋아용,5,2019-12-08
1142,이제 처음이라 다음에 사용후기 다시쓸께요,4,2020-10-18
1143,굿,5,2020-01-02
1144,고객과회원위해 더많은노력과서비스에감사합니다,4,2018-05-31
1145,편한어플 감사요~~,5,2019-12-28
1146,죠어요,5,2019-09-22
1147,앱은 편하고 좋은데 가끔 현장에서 다른소릴해요,5,2019-09-12
1148,편리하고 믿음가는 앱 후기만 잘보면 굿,4,2018-07-13
1149,쿠폰에 적립도 되고 조금씩 아낄수 있어서 좋고 방 예약도 간편해서 넘 좋아요,5,2017-10-21
1150,좋은 쿠폰 주셔서 잘 활용함~^^,5,2021-05-04
1151,좋아요,5,2019-10-30
1152,좋아용♥,5,2018-02-28
